County,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
Alcona,10167,3802.458,2684.088,864.195,345.678,671.022,640.521,152.505,61.002
Alger,8842,3306.908,2334.288,751.57,300.62800000000004,583.572,557.046,132.63,53.052
Allegan,120502,45067.748,31812.528000000002,10242.67,4097.068,7953.1320000000005,7591.626,1807.53,723.0120000000001
Alpena,28907,10811.218,7631.448,2457.0950000000003,982.8380000000001,1907.862,1821.141,433.60499999999996,173.442
Antrim,23431,8763.194,6185.784000000001,1991.6350000000002,796.6540000000001,1546.4460000000001,1476.153,351.465,140.586
Arenac,15002,5610.748,3960.5280000000002,1275.17,510.06800000000004,990.1320000000001,945.126,225.03,90.012
Baraga,8209,3070.166,2167.176,697.7650000000001,279.106,541.794,517.167,123.13499999999999,49.254
Barry,61378,22955.372,16203.792000000001,5217.13,2086.8520000000003,4050.9480000000003,3866.814,920.67,368.26800000000003
Bay,103856,38842.144,27417.984,8827.76,3531.1040000000003,6854.496,6542.928,1557.84,623.136
Benzie,17970,6720.78,4744.08,1527.45,610.98,1186.02,1132.11,269.55,107.82000000000001
Berrien,153401,57371.974,40497.864,13039.085000000001,5215.634,10124.466,9664.263,2301.015,920.4060000000001
Branch,45248,16922.752,11945.472,3846.0800000000004,1538.432,2986.368,2850.624,678.72,271.488
Calhoun,134310,50231.94,35457.840000000004,11416.35,4566.54,8864.460000000001,8461.53,2014.6499999999999,805.86
Cass,51589,19294.286,13619.496000000001,4385.0650000000005,1754.026,3404.8740000000003,3250.107,773.8349999999999,309.534
Charlevoix,26054,9744.196,6878.256,2214.59,885.836,1719.564,1641.402,390.81,156.324
Cheboygan,25579,9566.546,6752.856000000001,2174.215,869.686,1688.2140000000002,1611.477,383.685,153.474
Chippewa,37661,14085.214,9942.504,3201.1850000000004,1280.4740000000002,2485.626,2372.643,564.915,225.966
Clare,30856,11540.144,8145.984,2622.76,1049.104,2036.496,1943.928,462.84,185.136
Clinton,79128,29593.872,20889.792,6725.88,2690.3520000000003,5222.448,4985.064,1186.9199999999998,474.76800000000003
Crawford,13685,5118.19,3612.84,1163.2250000000001,465.29,903.21,862.155,205.275,82.11
Delta,36903,13801.722,9742.392,3136.755,1254.702,2435.598,2324.889,553.545,221.418
Dickinson,25239,9439.386,6663.0960000000005,2145.315,858.1260000000001,1665.7740000000001,1590.057,378.585,151.434
Eaton,109175,40831.45,28822.2,9279.875,3711.9500000000003,7205.55,6878.025,1637.625,655.0500000000001
Emmet,34112,12757.888,9005.568000000001,2899.52,1159.808,2251.3920000000003,2149.056,511.68,204.672
Genesee,406211,151922.914,107239.704,34527.935000000005,13811.174,26809.926,25591.293,6093.165,2437.266
Gladwin,25386,9494.364,6701.904,2157.81,863.124,1675.476,1599.318,380.78999999999996,152.316
Gogebic,14380,5378.12,3796.32,1222.3000000000002,488.92,949.08,905.94,215.7,86.28
Grand Traverse,95238,35619.012,25142.832000000002,8095.2300000000005,3238.092,6285.7080000000005,5999.994,1428.57,571.428
Gratiot,41761,15618.614,11024.904,3549.6850000000004,1419.874,2756.226,2630.943,626.415,250.566
Hillsdale,45065,16854.31,11897.16,3830.525,1532.21,2974.29,2839.095,675.975,270.39
Houghton,36356,13597.144,9597.984,3090.26,1236.104,2399.496,2290.428,545.34,218.136
Huron,31407,11746.218,8291.448,2669.5950000000003,1067.838,2072.862,1978.641,471.10499999999996,188.442
Ingham,284900,106552.6,75213.6,24216.5,9686.6,18803.4,17948.7,4273.5,1709.4
Ionia,67804,25358.696,17900.256,5763.34,2305.3360000000002,4475.064,4271.652,1017.06,406.824
Iosco,24104,9014.896,6363.456,2048.84,819.5360000000001,1590.864,1518.552,361.56,144.624
Iron,11631,4349.994,3070.5840000000003,988.6350000000001,395.454,767.6460000000001,732.753,174.465,69.786
Isabella,64394,24083.356,17000.016,5473.490000000001,2189.396,4250.004,4056.822,965.91,386.36400000000003
Jackson,160366,59976.884,42336.624,13631.11,5452.444,10584.156,10103.058,2405.49,962.196
Kalamazoo,261670,97864.58,69080.88,22241.95,8896.78,17270.22,16485.21,3925.0499999999997,1570.02
Kalkaska,18038,6746.2119999999995,4762.032,1533.23,613.292,1190.508,1136.394,270.57,108.22800000000001
Kent,657974,246082.276,173705.136,55927.79,22371.116,43426.284,41452.362,9869.609999999999,3947.844
Keweenaw,2046,765.204,540.144,173.91000000000003,69.56400000000001,135.036,128.898,30.689999999999998,12.276
Lake,12096,4523.9039999999995,3193.344,1028.16,411.264,798.336,762.048,181.44,72.57600000000001
Lapeer,88619,33143.506,23395.416,7532.615000000001,3013.0460000000003,5848.854,5582.997,1329.2849999999999,531.714
Leelanau,22301,8340.574,5887.464,1895.585,758.234,1471.866,1404.963,334.515,133.806
Lenawee,98774,36941.476,26076.336000000003,8395.79,3358.3160000000003,6519.084000000001,6222.762,1481.61,592.644
Livingston,193866,72505.884,51180.624,16478.61,6591.444,12795.156,12213.558,2907.99,1163.196
Luce,5339,1996.786,1409.496,453.81500000000005,181.526,352.374,336.357,80.085,32.034
Mackinac,10834,4051.916,2860.176,920.8900000000001,368.35600000000005,715.044,682.542,162.51,65.004
Macomb,881217,329575.158,232641.288,74903.445,29961.378,58160.322,55516.671,13218.255,5287.302
Manistee,24516,9168.984,6472.224,2083.86,833.5440000000001,1618.056,1544.508,367.74,147.096
Marquette,65292,24419.208,17237.088,5549.820000000001,2219.9280000000003,4309.272,4113.396,979.38,391.752
Mason,29052,10865.448,7669.728,2469.42,987.768,1917.432,1830.276,435.78,174.312
Mecosta,42228,15793.272,11148.192000000001,3589.38,1435.7520000000002,2787.0480000000002,2660.364,633.42,253.368
Menominee,23502,8789.748,6204.528,1997.67,799.0680000000001,1551.132,1480.626,352.53,141.012
Midland,83494,31226.756,22042.416,7096.990000000001,2838.7960000000003,5510.604,5260.122,1252.4099999999999,500.964
Missaukee,15052,5629.448,3973.728,1279.42,511.76800000000003,993.432,948.276,225.78,90.312
Monroe,154624,57829.376,40820.736000000004,13143.04,5257.216,10205.184000000001,9741.312,2319.36,927.744
Montcalm,66614,24913.636,17586.096,5662.1900000000005,2264.876,4396.524,4196.682,999.2099999999999,399.684
Montmorency,9153,3423.222,2416.3920000000003,778.0050000000001,311.202,604.0980000000001,576.639,137.295,54.918
Muskegon,175824,65758.176,46417.536,14945.04,5978.0160000000005,11604.384,11076.912,2637.36,1054.944
Newaygo,49978,18691.772,13194.192000000001,4248.13,1699.2520000000002,3298.5480000000002,3148.614,749.67,299.868
Oakland,1274395,476623.73,336440.28,108323.57500000001,43329.43,84110.07,80286.885,19115.925,7646.37
Oceana,26936,10074.064,7111.104,2289.56,915.8240000000001,1777.776,1696.968,404.03999999999996,161.616
Ogemaw,20770,7767.98,5483.280000000001,1765.45,706.1800000000001,1370.8200000000002,1308.51,311.55,124.62
Ontonagon,5816,2175.184,1535.424,494.36,197.74400000000003,383.856,366.408,87.24,34.896
Osceola,22891,8561.234,6043.224,1945.7350000000001,778.2940000000001,1510.806,1442.133,343.365,137.346
Oscoda,8241,3082.134,2175.6240000000003,700.485,280.194,543.9060000000001,519.183,123.615,49.446
Otsego,25091,9384.034,6624.024,2132.735,853.094,1656.006,1580.733,376.365,150.546
Ottawa,296200,110778.8,78196.8,25177.0,10070.800000000001,19549.2,18660.6,4443.0,1777.2
Presque Isle,12498,4674.252,3299.472,1062.3300000000002,424.932,824.868,787.374,187.47,74.988
Roscommon,23459,8773.666,6193.176,1994.015,797.6060000000001,1548.294,1477.917,351.885,140.754
Saginaw,190540,71261.96,50302.560000000005,16195.900000000001,6478.360000000001,12575.640000000001,12004.02,2858.1,1143.24
Sanilac,41248,15426.752,10889.472,3506.0800000000004,1402.432,2722.368,2598.624,618.72,247.488
Schoolcraft,8047,3009.578,2124.408,683.995,273.598,531.102,506.961,120.705,48.282000000000004
Shiawassee,68994,25803.756,18214.416,5864.490000000001,2345.7960000000003,4553.604,4346.622,1034.9099999999999,413.964
St. Clair,160383,59983.242,42341.112,13632.555,5453.022000000001,10585.278,10104.129,2405.745,962.298
St. Joseph,61110,22855.14,16133.04,5194.35,2077.7400000000002,4033.26,3849.93,916.65,366.66
Tuscola,53323,19942.802,14077.272,4532.455,1812.9820000000002,3519.318,3359.349,799.8449999999999,319.938
Van Buren,75058,28071.692,19815.312,6379.93,2551.972,4953.828,4728.654,1125.87,450.348
Washtenaw,372258,139224.492,98276.11200000001,31641.930000000004,12656.772,24569.028000000002,23452.254,5583.87,2233.5480000000002
Wayne,1793561,670791.814,473500.10400000005,152452.685,60981.07400000001,118375.02600000001,112994.34300000001,26903.414999999997,10761.366
Wexford,33673,12593.702,8889.672,2862.2050000000004,1144.882,2222.418,2121.399,505.09499999999997,202.038
